GEOID,NAME,STUSPS,NAMELSAD,NAMEST,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,POPBASE,POPPREV,POPEST,POPDOD,POPBTD
5437372,Hillsboro,WV,Hillsboro town,"Hillsboro, WV",A,1379934,0,38.1383813,-80.2106961,232,253,231,-0.08300395256916993,-0.004310344827586188
5463292,Philippi,WV,Philippi city,"Philippi, WV",A,7327198,237303,39.1472915,-80.0503807,2928,2954,2922,-0.008801624915368955,-0.002049180327868827
5422852,Durbin,WV,Durbin town,"Durbin, WV",A,1481529,0,38.5471263,-79.827822,235,294,240,-0.20068027210884354,0.02127659574468077
5415676,Clay,WV,Clay town,"Clay, WV",A,1444683,147764,38.4614566,-81.0849099,399,491,387,-0.18737270875763745,-0.03007518796992481
5467108,Ravenswood,WV,Ravenswood city,"Ravenswood, WV",A,4706719,184452,38.9562911,-81.7619812,3865,3846,3847,0.0049401976079042065,-0.004657179818887469
5414600,Charleston,WV,Charleston city,"Charleston, WV",A,81397486,2948452,38.3486917,-81.632324,48913,51280,48018,-0.046158346333853406,-0.01829779404248355
5471212,St. Albans,WV,St. Albans city,"St. Albans, WV",A,9362452,197071,38.3776163,-81.8192511,10861,11033,10635,-0.01558959485180822,-0.020808397016849223
5422564,Dunbar,WV,Dunbar city,"Dunbar, WV",A,7257419,9809,38.3695275,-81.7361069,7479,7853,7330,-0.047625111422386346,-0.019922449525337615
5477980,Summersville,WV,Summersville city,"Summersville, WV",A,11620180,111483,38.2870268,-80.8414912,3459,3560,3408,-0.028370786516853985,-0.014744145706851675
5487988,Winfield,WV,Winfield town,"Winfield, WV",A,6106854,671539,38.5266535,-81.8854816,2397,2365,2390,0.013530655391120527,-0.002920317062995448
5470084,Romney,WV,Romney city,"Romney, WV",A,2737581,362,39.3445486,-78.7558039,1722,1839,1717,-0.0636215334420881,-0.0029036004645760505
5415076,Chester,WV,Chester city,"Chester, WV",A,2587584,0,40.6129239,-80.5627301,2214,2546,2173,-0.1304006284367636,-0.01851851851851849
5458300,Newburg,WV,Newburg town,"Newburg, WV",A,2033144,0,39.388852,-79.8536008,275,320,274,-0.140625,-0.0036363636363636598
5479708,Terra Alta,WV,Terra Alta town,"Terra Alta, WV",A,3069738,0,39.4442779,-79.5436406,1493,1492,1498,0.0006702412868633267,0.0033489618218351946
5411716,Burnsville,WV,Burnsville town,"Burnsville, WV",A,2737712,85431,38.8555173,-80.6527318,401,510,393,-0.21372549019607845,-0.01995012468827928
5430220,Gassaway,WV,Gassaway town,"Gassaway, WV",A,2991883,160746,38.6667229,-80.7703607,769,895,755,-0.1407821229050279,-0.01820546163849157
